COD_CONTA,DSC_ESTADO_CIVIL,DSC_SUITABILITY
106,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
107,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
108,DIVORCIADO(A),AGRESSIVO
109,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
110,DIVORCIADO(A),AGRESSIVO
111,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
112,SOLTEIRO(A),AGRESSIVO
113,SOLTEIRO(A),AGRESSIVO
114,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
115,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
116,SOLTEIRO(A),AGRESSIVO
117,SOLTEIRO(A),AGRESSIVO
118,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
119,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
120,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
121,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
122,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
123,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
124,SOLTEIRO(A),AGRESSIVO
125,DIVORCIADO(A),AGRESSIVO
126,SOLTEIRO(A),AGRESSIVO
127,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
128,SOLTEIRO(A),AGRESSIVO
129,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
130,SOLTEIRO(A),AGRESSIVO
131,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
132,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
133,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
134,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
135,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
136,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
137,SOLTEIRO(A),AGRESSIVO
138,SOLTEIRO(A),AGRESSIVO
139,SOLTEIRO(A),AGRESSIVO
140,DIVORCIADO(A),AGRESSIVO
141,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
142,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
143,DIVORCIADO(A),MODERADO
144,DIVORCIADO(A),AGRESSIVO
145,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
146,DIVORCIADO(A),MODERADO
147,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
148,SOLTEIRO(A),AGRESSIVO
149,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
150,SOLTEIRO(A),MODERADO
151,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
152,SOLTEIRO(A),AGRESSIVO
153,SOLTEIRO(A),AGRESSIVO
154,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
155,SOLTEIRO(A),AGRESSIVO
156,DIVORCIADO(A),MODERADO
157,SOLTEIRO(A),MODERADO
158,SOLTEIRO(A),MODERADO
159,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
160,SOLTEIRO(A),AGRESSIVO
161,SOLTEIRO(A),AGRESSIVO
162,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
163,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
164,SOLTEIRO(A),AGRESSIVO
165,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
166,CASADO(A) COM BRASILEIRO(A)  NATO(A),MODERADO
167,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
168,CASADO(A) COM BRASILEIRO(A)  NATO(A),MODERADO
169,SOLTEIRO(A),MODERADO
170,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
171,SOLTEIRO(A),MODERADO
172,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
173,DIVORCIADO(A),AGRESSIVO
174,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
175,SOLTEIRO(A),AGRESSIVO
176,SOLTEIRO(A),MODERADO
177,SOLTEIRO(A),MODERADO
178,SOLTEIRO(A),AGRESSIVO
179,SOLTEIRO(A),MODERADO
180,SOLTEIRO(A),AGRESSIVO
181,SOLTEIRO(A),AGRESSIVO
182,SOLTEIRO(A),AGRESSIVO
183,SOLTEIRO(A),MODERADO
184,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
185,DIVORCIADO(A),AGRESSIVO
186,DIVORCIADO(A),AGRESSIVO
187,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
188,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
189,SOLTEIRO(A),AGRESSIVO
190,SOLTEIRO(A),AGRESSIVO
191,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
192,SOLTEIRO(A),AGRESSIVO
193,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
194,CASADO(A) COM BRASILEIRO(A)  NATO(A),MODERADO
195,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
196,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
197,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
198,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
199,CASADO(A) COM BRASILEIRO(A) NATURALIZADO,AGRESSIVO
200,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
201,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
202,SOLTEIRO(A),AGRESSIVO
